age,age_group,job,marital,education,balance,balance_group,housing,loan,default,contact,month,day,duration,campaign,campaign_group,pdays,previous,poutcome,deposit
48,40-49,blue-collar,divorced,primary,24,Low Balance,yes,no,no,unknown,may,14,832,1,1 Contact,-1,0,unknown,Yes
41,40-49,blue-collar,single,primary,1618,Medium Balance,yes,no,no,unknown,may,14,1553,1,1 Contact,-1,0,unknown,Yes
39,30-39,management,divorced,tertiary,517,Low Balance,yes,yes,no,unknown,may,14,1328,1,1 Contact,-1,0,unknown,Yes
59,50-59,retired,married,secondary,1521,Medium Balance,yes,yes,no,unknown,may,14,1125,2,2-3 Contacts,-1,0,unknown,Yes
41,40-49,blue-collar,married,secondary,2823,Medium Balance,yes,no,no,unknown,may,14,858,1,1 Contact,-1,0,unknown,Yes
48,40-49,blue-collar,married,secondary,1405,Medium Balance,yes,no,no,unknown,may,14,629,2,2-3 Contacts,-1,0,unknown,Yes
40,40-49,admin.,married,secondary,1535,Medium Balance,yes,no,no,unknown,may,14,704,1,1 Contact,-1,0,unknown,Yes
48,40-49,blue-collar,married,secondary,1596,Medium Balance,yes,no,no,unknown,may,14,760,1,1 Contact,-1,0,unknown,Yes
60,60+,retired,married,primary,1542,Medium Balance,yes,no,no,unknown,may,14,930,1,1 Contact,-1,0,unknown,Yes
40,40-49,technician,single,unknown,3652,Medium Balance,yes,no,no,unknown,may,14,1028,2,2-3 Contacts,-1,0,unknown,Yes
57,50-59,technician,married,tertiary,-1,Negative Balance,no,no,no,unknown,may,14,850,2,2-3 Contacts,-1,0,unknown,Yes
51,50-59,blue-collar,married,secondary,7180,High Balance,yes,no,no,unknown,may,14,927,1,1 Contact,-1,0,unknown,Yes
41,40-49,blue-collar,divorced,secondary,5291,High Balance,yes,no,no,unknown,may,14,1423,3,2-3 Contacts,-1,0,unknown,Yes
41,40-49,blue-collar,married,secondary,1384,Medium Balance,yes,no,no,unknown,may,15,1162,4,4-5 Contacts,-1,0,unknown,Yes
52,50-59,blue-collar,divorced,primary,-191,Negative Balance,yes,no,no,unknown,may,15,755,1,1 Contact,-1,0,unknown,Yes
59,50-59,blue-collar,married,primary,320,Low Balance,yes,no,no,unknown,may,15,695,1,1 Contact,-1,0,unknown,Yes
44,40-49,blue-collar,married,unknown,146,Low Balance,yes,no,no,unknown,may,15,483,1,1 Contact,-1,0,unknown,Yes
49,40-49,unknown,married,primary,341,Low Balance,yes,yes,no,unknown,may,15,520,2,2-3 Contacts,-1,0,unknown,Yes
40,40-49,services,married,primary,-9,Negative Balance,yes,no,no,unknown,may,15,920,2,2-3 Contacts,-1,0,unknown,Yes
41,40-49,admin.,married,primary,-306,Negative Balance,yes,no,no,unknown,may,15,500,1,1 Contact,-1,0,unknown,Yes
44,40-49,technician,married,tertiary,4580,Medium Balance,yes,no,no,unknown,may,15,911,2,2-3 Contacts,-1,0,unknown,Yes
60,60+,services,single,primary,313,Low Balance,yes,no,no,unknown,may,15,920,2,2-3 Contacts,-1,0,unknown,Yes
29,18-29,management,married,tertiary,10576,High Balance,no,no,no,unknown,may,15,1224,2,2-3 Contacts,-1,0,unknown,Yes
41,40-49,retired,divorced,primary,-233,Negative Balance,yes,no,no,unknown,may,15,1156,2,2-3 Contacts,-1,0,unknown,Yes
41,40-49,blue-collar,married,primary,2453,Medium Balance,yes,no,no,unknown,may,15,1052,1,1 Contact,-1,0,unknown,Yes
42,40-49,technician,single,secondary,1364,Medium Balance,yes,no,no,unknown,may,15,1867,6,6+ Contacts,-1,0,unknown,Yes
36,30-39,services,single,unknown,281,Low Balance,yes,no,no,unknown,may,16,515,1,1 Contact,-1,0,unknown,Yes
39,30-39,technician,married,tertiary,94,Low Balance,yes,yes,no,unknown,may,16,813,1,1 Contact,-1,0,unknown,Yes
31,30-39,self-employed,single,tertiary,144,Low Balance,yes,no,no,unknown,may,16,676,1,1 Contact,-1,0,unknown,Yes
26,18-29,blue-collar,married,secondary,246,Low Balance,yes,no,no,unknown,may,16,1143,3,2-3 Contacts,-1,0,unknown,Yes
31,30-39,blue-collar,married,secondary,92,Low Balance,yes,no,no,unknown,may,16,688,1,1 Contact,-1,0,unknown,Yes
29,18-29,admin.,single,secondary,163,Low Balance,yes,yes,no,unknown,may,16,803,1,1 Contact,-1,0,unknown,Yes
37,30-39,services,divorced,secondary,49,Low Balance,yes,no,no,unknown,may,16,619,2,2-3 Contacts,-1,0,unknown,Yes
33,30-39,blue-collar,single,secondary,-416,Negative Balance,yes,no,no,unknown,may,16,767,2,2-3 Contacts,-1,0,unknown,Yes
24,18-29,technician,single,secondary,409,Low Balance,yes,no,no,unknown,may,16,912,1,1 Contact,-1,0,unknown,Yes
50,50-59,admin.,divorced,secondary,363,Low Balance,yes,no,no,unknown,may,16,1340,1,1 Contact,-1,0,unknown,Yes
27,18-29,technician,single,tertiary,3706,Medium Balance,yes,no,no,unknown,may,16,897,1,1 Contact,-1,0,unknown,Yes
54,50-59,management,single,tertiary,4393,Medium Balance,yes,no,no,unknown,may,16,1297,3,2-3 Contacts,-1,0,unknown,Yes
30,30-39,technician,single,secondary,863,Low Balance,yes,no,no,unknown,may,16,1193,5,4-5 Contacts,-1,0,unknown,Yes
34,30-39,blue-collar,married,primary,695,Low Balance,yes,yes,no,unknown,may,16,1064,4,4-5 Contacts,-1,0,unknown,Yes
37,30-39,management,single,secondary,792,Low Balance,yes,no,no,unknown,may,16,1187,4,4-5 Contacts,-1,0,unknown,Yes
41,40-49,admin.,single,secondary,1020,Medium Balance,yes,no,no,unknown,may,19,882,1,1 Contact,-1,0,unknown,Yes
47,40-49,blue-collar,married,secondary,863,Low Balance,yes,no,no,unknown,may,19,943,2,2-3 Contacts,-1,0,unknown,Yes
31,30-39,admin.,married,secondary,97,Low Balance,yes,no,no,unknown,may,19,607,1,1 Contact,-1,0,unknown,Yes
31,30-39,blue-collar,married,secondary,754,Low Balance,yes,no,no,unknown,may,19,1022,4,4-5 Contacts,-1,0,unknown,Yes
43,40-49,services,divorced,secondary,1040,Medium Balance,yes,no,no,unknown,may,19,552,3,2-3 Contacts,-1,0,unknown,Yes
37,30-39,management,divorced,tertiary,122,Low Balance,yes,no,no,unknown,may,19,1622,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,technician,single,tertiary,880,Low Balance,yes,yes,no,unknown,may,19,967,6,6+ Contacts,-1,0,unknown,Yes
41,40-49,technician,married,secondary,501,Low Balance,yes,no,no,unknown,may,19,579,5,4-5 Contacts,-1,0,unknown,Yes
36,30-39,blue-collar,married,secondary,4438,Medium Balance,yes,no,no,unknown,may,20,446,1,1 Contact,-1,0,unknown,Yes
35,30-39,blue-collar,divorced,secondary,0,Zero Balance,yes,no,no,unknown,may,20,1205,1,1 Contact,-1,0,unknown,Yes
29,18-29,services,single,secondary,271,Low Balance,yes,no,no,unknown,may,20,1882,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,primary,102,Low Balance,yes,no,no,unknown,may,20,1334,1,1 Contact,-1,0,unknown,Yes
31,30-39,blue-collar,married,secondary,2,Low Balance,yes,no,no,unknown,may,20,182,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,services,married,secondary,4170,Medium Balance,yes,no,no,unknown,may,20,1777,1,1 Contact,-1,0,unknown,Yes
34,30-39,technician,single,secondary,85,Low Balance,yes,no,no,unknown,may,20,1182,4,4-5 Contacts,-1,0,unknown,Yes
31,30-39,admin.,single,secondary,431,Low Balance,yes,yes,no,unknown,may,20,1045,1,1 Contact,-1,0,unknown,Yes
44,40-49,technician,divorced,secondary,982,Low Balance,yes,no,no,unknown,may,20,650,3,2-3 Contacts,-1,0,unknown,Yes
36,30-39,blue-collar,married,primary,408,Low Balance,yes,yes,no,unknown,may,20,1063,2,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,unknown,4822,Medium Balance,yes,no,no,unknown,may,20,843,2,2-3 Contacts,-1,0,unknown,Yes
41,40-49,blue-collar,married,primary,1250,Medium Balance,yes,no,no,unknown,may,20,1392,2,2-3 Contacts,-1,0,unknown,Yes
31,30-39,blue-collar,single,primary,216,Low Balance,yes,no,no,unknown,may,21,565,1,1 Contact,-1,0,unknown,Yes
34,30-39,blue-collar,married,secondary,1207,Medium Balance,yes,no,no,unknown,may,21,905,1,1 Contact,-1,0,unknown,Yes
32,30-39,technician,married,secondary,791,Low Balance,yes,no,no,unknown,may,21,783,2,2-3 Contacts,-1,0,unknown,Yes
36,30-39,management,married,tertiary,849,Low Balance,yes,yes,no,unknown,may,21,958,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,blue-collar,single,secondary,239,Low Balance,yes,no,yes,unknown,may,21,412,1,1 Contact,-1,0,unknown,Yes
37,30-39,technician,single,secondary,1211,Medium Balance,yes,no,no,unknown,may,21,795,1,1 Contact,-1,0,unknown,Yes
36,30-39,blue-collar,married,primary,599,Low Balance,yes,no,no,unknown,may,21,649,2,2-3 Contacts,-1,0,unknown,Yes
31,30-39,management,single,tertiary,825,Low Balance,yes,no,no,unknown,may,21,506,2,2-3 Contacts,-1,0,unknown,Yes
27,18-29,technician,married,secondary,2183,Medium Balance,yes,yes,no,unknown,may,21,857,1,1 Contact,-1,0,unknown,Yes
34,30-39,retired,married,primary,4499,Medium Balance,no,no,no,unknown,may,21,1681,1,1 Contact,-1,0,unknown,Yes
30,30-39,technician,single,tertiary,1289,Medium Balance,yes,no,no,unknown,may,21,1697,2,2-3 Contacts,-1,0,unknown,Yes
32,30-39,technician,single,tertiary,4665,Medium Balance,yes,no,no,unknown,may,21,860,2,2-3 Contacts,-1,0,unknown,Yes
37,30-39,technician,single,secondary,3326,Medium Balance,yes,no,no,unknown,may,21,799,1,1 Contact,-1,0,unknown,Yes
32,30-39,blue-collar,married,secondary,783,Low Balance,yes,no,no,unknown,may,21,923,3,2-3 Contacts,-1,0,unknown,Yes
33,30-39,blue-collar,married,secondary,0,Zero Balance,yes,no,no,unknown,may,21,521,3,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,primary,994,Low Balance,yes,no,no,unknown,may,23,1349,8,6+ Contacts,-1,0,unknown,Yes
35,30-39,self-employed,divorced,tertiary,1354,Medium Balance,yes,no,no,unknown,may,23,736,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,blue-collar,single,secondary,239,Low Balance,yes,no,no,unknown,may,23,785,1,1 Contact,-1,0,unknown,Yes
45,40-49,blue-collar,divorced,primary,-311,Negative Balance,yes,no,no,unknown,may,23,1030,1,1 Contact,-1,0,unknown,Yes
45,40-49,admin.,married,secondary,149,Low Balance,yes,no,no,unknown,may,23,893,3,2-3 Contacts,-1,0,unknown,Yes
33,30-39,blue-collar,married,secondary,1464,Medium Balance,yes,no,no,unknown,may,23,588,3,2-3 Contacts,-1,0,unknown,Yes
44,40-49,management,divorced,tertiary,5773,High Balance,no,no,no,unknown,may,23,597,6,6+ Contacts,-1,0,unknown,Yes
40,40-49,blue-collar,married,primary,278,Low Balance,yes,no,no,unknown,may,23,1015,3,2-3 Contacts,-1,0,unknown,Yes
31,30-39,blue-collar,married,secondary,2910,Medium Balance,yes,no,no,unknown,may,23,1392,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,technician,married,tertiary,541,Low Balance,yes,no,no,unknown,may,26,414,2,2-3 Contacts,-1,0,unknown,Yes
44,40-49,technician,divorced,secondary,1262,Medium Balance,yes,no,no,unknown,may,26,788,11,6+ Contacts,-1,0,unknown,Yes
34,30-39,services,married,secondary,-538,Negative Balance,yes,no,no,unknown,may,26,682,1,1 Contact,-1,0,unknown,Yes
37,30-39,blue-collar,married,secondary,125,Low Balance,no,no,no,unknown,may,26,679,2,2-3 Contacts,-1,0,unknown,Yes
28,18-29,self-employed,single,tertiary,0,Zero Balance,yes,no,no,unknown,may,26,1560,2,2-3 Contacts,-1,0,unknown,Yes
32,30-39,admin.,single,secondary,620,Low Balance,yes,no,no,unknown,may,26,1234,3,2-3 Contacts,-1,0,unknown,Yes
37,30-39,blue-collar,divorced,secondary,316,Low Balance,yes,no,no,unknown,may,26,642,2,2-3 Contacts,-1,0,unknown,Yes
34,30-39,management,married,tertiary,2287,Medium Balance,yes,no,no,unknown,may,26,895,4,4-5 Contacts,-1,0,unknown,Yes
38,30-39,admin.,divorced,secondary,198,Low Balance,yes,no,no,unknown,may,26,431,2,2-3 Contacts,-1,0,unknown,Yes
28,18-29,admin.,single,secondary,460,Low Balance,yes,no,no,unknown,may,26,741,6,6+ Contacts,-1,0,unknown,Yes
31,30-39,management,divorced,tertiary,1145,Medium Balance,yes,no,no,unknown,may,26,1272,4,4-5 Contacts,-1,0,unknown,Yes
59,50-59,services,married,secondary,-22,Negative Balance,yes,no,no,unknown,may,26,748,3,2-3 Contacts,-1,0,unknown,Yes
24,18-29,blue-collar,married,secondary,685,Low Balance,yes,no,no,unknown,may,26,896,3,2-3 Contacts,-1,0,unknown,Yes
26,18-29,services,single,secondary,901,Low Balance,yes,no,no,unknown,may,26,764,2,2-3 Contacts,-1,0,unknown,Yes
59,50-59,retired,single,secondary,351,Low Balance,yes,no,no,unknown,may,27,1063,5,4-5 Contacts,-1,0,unknown,Yes
30,30-39,entrepreneur,single,primary,0,Zero Balance,yes,yes,no,unknown,may,27,1051,1,1 Contact,-1,0,unknown,Yes
37,30-39,admin.,married,secondary,274,Low Balance,yes,no,no,unknown,may,27,731,3,2-3 Contacts,-1,0,unknown,Yes
30,30-39,admin.,single,secondary,-213,Negative Balance,yes,yes,no,unknown,may,27,751,1,1 Contact,-1,0,unknown,Yes
25,18-29,blue-collar,married,secondary,97,Low Balance,yes,no,no,unknown,may,27,709,1,1 Contact,-1,0,unknown,Yes
44,40-49,services,divorced,secondary,51,Low Balance,yes,yes,no,unknown,may,27,3094,2,2-3 Contacts,-1,0,unknown,Yes
29,18-29,management,married,tertiary,314,Low Balance,no,no,no,unknown,may,28,938,2,2-3 Contacts,-1,0,unknown,Yes
26,18-29,management,single,tertiary,6840,High Balance,yes,no,no,unknown,may,28,1560,2,2-3 Contacts,-1,0,unknown,Yes
26,18-29,technician,single,secondary,668,Low Balance,yes,no,no,unknown,may,28,576,3,2-3 Contacts,-1,0,unknown,Yes
27,18-29,services,single,secondary,54,Low Balance,yes,no,no,unknown,may,28,543,2,2-3 Contacts,-1,0,unknown,Yes
25,18-29,self-employed,single,secondary,1242,Medium Balance,yes,no,no,unknown,may,28,615,2,2-3 Contacts,-1,0,unknown,Yes
28,18-29,management,married,secondary,292,Low Balance,yes,no,no,unknown,may,28,507,1,1 Contact,-1,0,unknown,Yes
23,18-29,services,single,secondary,665,Low Balance,yes,no,no,unknown,may,28,1183,1,1 Contact,-1,0,unknown,Yes
34,30-39,management,single,tertiary,1058,Medium Balance,yes,no,no,unknown,may,28,864,2,2-3 Contacts,-1,0,unknown,Yes
28,18-29,student,single,secondary,949,Low Balance,yes,no,no,unknown,may,28,1730,1,1 Contact,-1,0,unknown,Yes
51,50-59,entrepreneur,married,unknown,606,Low Balance,yes,no,no,unknown,may,28,560,9,6+ Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,secondary,0,Zero Balance,yes,yes,no,unknown,may,29,543,1,1 Contact,-1,0,unknown,Yes
35,30-39,admin.,married,secondary,404,Low Balance,yes,no,no,unknown,may,29,539,1,1 Contact,-1,0,unknown,Yes
56,50-59,blue-collar,married,secondary,249,Low Balance,yes,no,no,unknown,may,29,791,2,2-3 Contacts,-1,0,unknown,Yes
45,40-49,unemployed,divorced,secondary,3354,Medium Balance,yes,no,no,unknown,may,29,746,1,1 Contact,-1,0,unknown,Yes
60,60+,blue-collar,divorced,secondary,0,Zero Balance,yes,no,no,unknown,may,29,1207,1,1 Contact,-1,0,unknown,Yes
56,50-59,technician,married,secondary,589,Low Balance,yes,no,no,unknown,may,29,535,2,2-3 Contacts,-1,0,unknown,Yes
27,18-29,management,single,tertiary,12956,High Balance,yes,no,no,unknown,may,29,789,3,2-3 Contacts,-1,0,unknown,Yes
30,30-39,admin.,married,secondary,873,Low Balance,yes,no,no,unknown,may,29,792,3,2-3 Contacts,-1,0,unknown,Yes
45,40-49,blue-collar,divorced,primary,594,Low Balance,yes,no,no,unknown,may,29,833,2,2-3 Contacts,-1,0,unknown,Yes
29,18-29,blue-collar,single,secondary,-20,Negative Balance,yes,no,no,unknown,may,29,814,2,2-3 Contacts,-1,0,unknown,Yes
38,30-39,management,divorced,tertiary,4692,Medium Balance,yes,no,no,unknown,may,29,1363,2,2-3 Contacts,-1,0,unknown,Yes
30,30-39,blue-collar,married,secondary,486,Low Balance,yes,no,no,unknown,may,29,1109,3,2-3 Contacts,-1,0,unknown,Yes
44,40-49,blue-collar,single,primary,1593,Medium Balance,yes,no,no,unknown,may,29,828,3,2-3 Contacts,-1,0,unknown,Yes
36,30-39,management,single,tertiary,7606,High Balance,yes,no,no,unknown,may,30,917,1,1 Contact,-1,0,unknown,Yes
38,30-39,technician,married,secondary,226,Low Balance,yes,no,no,unknown,may,30,762,3,2-3 Contacts,-1,0,unknown,Yes
36,30-39,blue-collar,single,secondary,366,Low Balance,yes,yes,no,unknown,may,30,1133,2,2-3 Contacts,-1,0,unknown,Yes
37,30-39,management,divorced,secondary,16,Low Balance,yes,no,no,unknown,may,30,638,1,1 Contact,-1,0,unknown,Yes
35,30-39,management,single,tertiary,565,Low Balance,yes,no,no,unknown,may,30,763,1,1 Contact,-1,0,unknown,Yes
38,30-39,admin.,divorced,secondary,19,Low Balance,yes,no,no,unknown,may,30,604,2,2-3 Contacts,-1,0,unknown,Yes
40,40-49,services,married,primary,1082,Medium Balance,yes,no,no,unknown,may,30,854,2,2-3 Contacts,-1,0,unknown,Yes
42,40-49,unemployed,divorced,secondary,1713,Medium Balance,yes,no,no,unknown,may,30,855,2,2-3 Contacts,-1,0,unknown,Yes
46,40-49,management,divorced,tertiary,14481,High Balance,yes,no,no,unknown,may,30,1269,1,1 Contact,-1,0,unknown,Yes
35,30-39,technician,divorced,secondary,5724,High Balance,yes,no,no,unknown,may,30,691,10,6+ Contacts,-1,0,unknown,Yes
34,30-39,technician,divorced,secondary,1451,Medium Balance,yes,no,no,unknown,may,30,1097,15,6+ Contacts,-1,0,unknown,Yes
32,30-39,services,married,secondary,-34,Negative Balance,yes,no,no,unknown,may,30,1236,2,2-3 Contacts,-1,0,unknown,Yes
50,50-59,unemployed,married,secondary,3674,Medium Balance,yes,no,no,unknown,may,30,886,3,2-3 Contacts,-1,0,unknown,Yes
35,30-39,blue-collar,married,secondary,698,Low Balance,yes,yes,no,unknown,may,30,1343,3,2-3 Contacts,-1,0,unknown,Yes
36,30-39,technician,single,secondary,4136,Medium Balance,yes,no,no,unknown,may,30,812,3,2-3 Contacts,-1,0,unknown,Yes
53,50-59,blue-collar,divorced,primary,2656,Medium Balance,yes,no,no,unknown,may,30,1980,2,2-3 Contacts,-1,0,unknown,Yes
46,40-49,management,single,tertiary,2904,Medium Balance,yes,no,no,unknown,may,30,984,2,2-3 Contacts,-1,0,unknown,Yes
26,18-29,management,single,tertiary,1004,Medium Balance,yes,no,no,unknown,may,30,228,2,2-3 Contacts,-1,0,unknown,Yes
45,40-49,technician,single,secondary,410,Low Balance,yes,no,no,unknown,may,30,891,4,4-5 Contacts,-1,0,unknown,Yes
31,30-39,unemployed,divorced,primary,0,Zero Balance,yes,no,no,unknown,may,30,745,12,6+ Contacts,-1,0,unknown,Yes
29,18-29,management,single,tertiary,0,Zero Balance,yes,no,no,unknown,may,30,539,12,6+ Contacts,-1,0,unknown,Yes
53,50-59,entrepreneur,single,secondary,62,Low Balance,yes,no,no,unknown,may,30,1044,5,4-5 Contacts,-1,0,unknown,Yes
27,18-29,blue-collar,married,primary,416,Low Balance,yes,no,no,unknown,may,30,1193,2,2-3 Contacts,-1,0,unknown,Yes
39,30-39,management,married,tertiary,2763,Medium Balance,yes,no,no,unknown,jun,2,526,2,2-3 Contacts,-1,0,unknown,Yes
36,30-39,services,married,secondary,2984,Medium Balance,yes,no,no,unknown,jun,2,394,1,1 Contact,-1,0,unknown,Yes
41,40-49,blue-collar,married,primary,143,Low Balance,yes,yes,no,unknown,jun,2,659,2,2-3 Contacts,-1,0,unknown,Yes
36,30-39,services,married,primary,0,Zero Balance,yes,no,no,unknown,jun,2,1036,1,1 Contact,-1,0,unknown,Yes
32,30-39,technician,married,secondary,696,Low Balance,yes,no,no,unknown,jun,2,815,1,1 Contact,-1,0,unknown,Yes
35,30-39,services,married,secondary,152,Low Balance,yes,no,no,unknown,jun,2,563,1,1 Contact,-1,0,unknown,Yes
36,30-39,management,single,tertiary,-78,Negative Balance,yes,no,no,unknown,jun,2,1068,1,1 Contact,-1,0,unknown,Yes
35,30-39,management,married,tertiary,867,Low Balance,yes,no,no,unknown,jun,2,230,3,2-3 Contacts,-1,0,unknown,Yes
30,30-39,blue-collar,single,secondary,953,Low Balance,yes,no,no,unknown,jun,2,747,2,2-3 Contacts,-1,0,unknown,Yes
42,40-49,blue-collar,married,secondary,443,Low Balance,yes,no,no,unknown,jun,2,671,5,4-5 Contacts,-1,0,unknown,Yes
42,40-49,technician,single,secondary,-1129,Negative Balance,yes,no,yes,unknown,jun,2,555,5,4-5 Contacts,-1,0,unknown,Yes
